id,phase,status,priority,area,task,done_criteria,notes
T01,inventory,done,P0,translation hygiene,"清理 translation 目录下 __pycache__ 和 .ipynb_checkpoints 等非源码杂物","find backend/scripts/services/translation 下不再出现 __pycache__/.ipynb_checkpoints","先只删缓存和 notebook checkpoint，不动业务逻辑"
T02,inventory,done,P0,translation docs,"重写 services/translation/README.md，明确 workflow/provider/policy/context/memory/payload/validation 的边界","README 写清每个一级目录职责、禁止依赖方向、主要入口","参考 rendering README 的风格"
T03,architecture,done,P0,architecture check,"扩展 check_pipeline_architecture.py，加入 translation 边界检查","CI/本地检查能阻止 provider 反向 import workflow、policy import provider 等越界","先定义弱约束，避免一次性打爆现有代码"
T04,workflow,done,P0,runtime migration,"把 runtime/pipeline/book_translation_flow.py 的主编排迁移到 services/translation/workflow","runtime/pipeline 只保留薄入口或兼容 shim，真实流程位于 services/translation/workflow","优先迁移 facade，不改变行为"
T05,workflow,done,P0,runtime migration,"迁移 book_translation_flow_steps.py 到 translation/workflow/stages.py 或拆分目录","原 runtime 文件变为导入转发或删除，测试通过","保持函数名兼容，减少调用方改动"
T06,workflow,done,P0,runtime migration,"迁移 book_translation_batch_runner.py、workers.py 到 translation/workflow/execution","并发执行、future 收敛、异常处理集中在 workflow/execution","已有 execution_runner 可继续细化"
T07,batching,done,P1,batching,"迁移 book_translation_batching.py、batches.py 到 translation/batching","批次划分、pending unit 收集、批次摘要从 runtime 解耦","不要让 batching 直接调用具体 provider"
T08,result,done,P1,result application,"迁移 book_translation_result_applier.py、flush.py 到 translation/results","结果应用、落盘、flush、manifest 更新集中管理","后续便于缓存和 replay"
T09,fastpath,done,P1,fast paths,"迁移 book_translation_fast_path.py 到 translation/policy 或 translation/fast_path","快路径只产出决策，不直接写结果或调用 provider","减少有些文本不翻译的隐式分支"
T10,planning,done,P1,execution plan,"迁移 book_translation_plan.py、policies.py 到 translation/workflow/execution_plan 或 policy/planner","翻译执行计划只描述输入、批次、策略、输出，不执行网络请求","和现有 policy/planner 合并或明确差异"
T11,provider,done,P0,provider protocol,"定义 TranslationProvider 接口模型：translate_batch/translate_single/capabilities/runtime_config","DeepSeek provider 只依赖该接口，不被 workflow 细节污染","保留现有 provider_registry 兼容"
T12,provider,done,P1,deepseek,"收敛 DeepSeek 模型名和 base_url 配置，移除散落 deepseek-chat 默认值","rg deepseek-chat 只剩文档或显式兼容说明","避免不同路径使用不同模型"
T13,provider,done,P1,response parsing,"把 shared/response_parsing 与 structured_parsers 的职责分清（本轮先加 provider 协议和边界约束，解析算法保持不变）","provider 只做原始响应解析，validator 做业务校验","减少 protocol/json shell 处理分散"
T14,prompts,done,P0,prompt protocol,"整理 foundation/prompts 和 llm/shared/prompt_building 的依赖关系","plain/direct_typst/structured 提示词入口清晰，cache hash 覆盖所有活跃提示词","已验证 cache 覆盖活跃提示词，并新增边界测试避免提示词改动后复用旧缓存"
T15,validation,done,P0,validation,"把 result_validator/validation/* 作为唯一校验入口，placeholder_guard 逐步变成兼容 facade","所有新代码只 import result_validator 或 validation 包","placeholder_guard 已标注为兼容 facade，新边界测试覆盖 result_validator 路径"
T16,validation,done,P1,protocol shell,"收窄 protocol/json shell 检测，只拦截真实协议壳，不拦合法正文","增加包含“请提供原文”等正常正文的测试","已新增测试覆盖合法正文和真实 JSON/protocol shell"
T17,policy,done,P0,policy boundary,"梳理 policy 下规则型分类器，把强规则改为 hint/policy decision 数据结构","policy 输出 TranslateDecision，不直接 mutate payload","structured technical block 已改为先产出 TranslationPolicyHint，再统一应用到 payload"
T18,policy,done,P1,technical blocks,"重审 structured_technical_blocks.py，去掉过细 Default/Type 等硬编码规则","规则改成通用短结构块特征，测试覆盖代码块、参数块、正文短句","已拆成字段提取/短字面量/结构块判定小函数，不增加硬编码特例"
T19,context,done,P0,context model,"统一 TranslationContext：job、page、neighbor windows、domain、memory、glossary","workflow/provider 调用统一传 context，不再零散传多个参数","已新增 TranslationUnitContext 数据包和测试，先不改变执行路径"
T20,context,done,P1,window builder,"完善 context/windows.py，生成前后文窗口但限制长度和敏感字段","每个 item 可获得稳定窗口摘要，token 长度可控","已新增 build_translation_context_windows 数据构建器，annotate 函数保留兼容写回"
T21,memory,done,P1,job memory,"把 memory 写入从翻译执行路径拆成异步/批量 summary 更新","翻译主路径不因 memory 提取显著变慢","已新增 TranslationMemoryUpdater 协议，当前默认同步实现保持行为不变"
T22,memory,done,P2,term extraction,"替换 job_memory 中粗糙正则筛词，改为候选评分接口","candidates/filters/summary 有独立测试","已新增 TermCandidate/score 入口，旧 tuple API 保持兼容，不引入 jieba"
T23,payload,done,P0,payload ownership,"明确 payload/parts 只负责构造 TranslationUnit，不负责 provider、cache、写文件","payload 包内无 provider/workflow 执行依赖","已在架构检查中卡死 payload 对 llm/workflow/batching/results/memory/runtime 的依赖"
T24,cache,done,P1,cache,"统一翻译 cache key，包含 provider、模型、所有活跃提示词 hash、policy 版本","prompt/policy 改动会导致 cache key 改变","已新增 TRANSLATION_POLICY_VERSION 并纳入 cache key，测试覆盖 policy version 变化"
T25,diagnostics,done,P1,diagnostics,"把 diagnostics/debug_index/io 与 workflow 事件输出打通","翻译失败能定位 item、prompt mode、provider、raw excerpt、fallback 路径","已新增 diagnostics/item_summary.py，diagnostics 与 debug_index 输出 provider/prompt/request/raw_excerpt 定位字段"
T26,tests,done,P0,regression tests,"拆分 translation fast path 大测试文件，按 policy/provider/validation/workflow 分类","测试文件不再单个无限增长，pytest 目标清晰","已拆出 prompt_protocols、validation_protocols、context_and_schema，fast path 从 2477 行降到 1614 行"
T27,tests,done,P0,replay samples,"建立 translation replay golden 样本目录和最小样本清单","能重放 protocol shell、empty output、未翻译英文残留、技术块误翻译等场景","已建立 golden_replay/manifest.json 和 README，并加测试防止 manifest 嵌入 API key/token"
T28,compat,done,P1,compat shims,"为 runtime/pipeline 旧导入保留一轮 compatibility shim","旧入口测试通过，README 标注迁移目标","已新增 runtime compat contract 测试，确认旧 book_translation_* 入口指向 services.translation 新模块"
T29,cleanup,done,P1,dead code,"迁移完成后清理 runtime/pipeline 下不再使用的 book_translation_* 文件","rg 确认无引用，测试通过","已迁移测试和调试脚本到 services.translation.*，删除 runtime/pipeline/book_translation_* 兼容 shim"
T30,verification,done,P0,verification,"每轮执行 compileall、translation 相关 pytest、架构检查","python3 -m compileall -q backend/scripts; pytest translation subset; architecture check pass","本轮已通过 compileall、translation 全量 pytest 339 passed、architecture check"
